Earth x,Earth y,Earth z,Earth_anomaly x,Earth_anomaly y,Earth_anomaly z
-1098.572694,-403.9664662,935.9008575,-5010.573737,-2090.158116,5152.182899
-1108.998127,-404.9480224,923.4473454,-5437.775834,-2251.590965,5467.049851
-1119.295656,-405.8828466,910.8808369,-10128.6389,-4163.355836,9956.475695
-1129.463944,-406.7707786,898.2027527,-10358.33948,-4227.199207,9955.374796
-1139.501671,-407.6116639,885.4145314,-5234.191468,-2120.930458,4918.303251
-1149.407529,-408.4053537,872.5176275,-8321.879095,-3348.535425,7644.793773
-1159.180224,-409.1517048,859.5135152,-5342.427336,-2134.860926,4797.745725
-1168.818476,-409.8505798,846.4036859,-8741.819396,-3469.520826,7674.061306
-1178.32102,-410.5018472,833.1896474,-9191.217829,-3623.390719,7886.547005
-1187.686608,-411.1053815,819.8729239,-10632.12668,-4163.6382,8916.303383
-1196.914001,-411.6610628,806.455061,-5551.475938,-2159.767205,4549.663226
-1206.001985,-412.1687776,792.9376159,-6102.797312,-2358.884275,4887.150743
-1214.949354,-412.6284184,779.3221641,-8803.849701,-3381.129459,6888.10646
-1223.754922,-413.0398837,765.6102997,-10339.28548,-3945.683435,7902.364048
-1232.417517,-413.4030782,751.8036329,-9512.996478,-3607.62529,7101.5995
-1240.935987,-413.717913,737.9037886,-10275.14163,-3872.51372,7490.76367
-1249.309196,-413.9843055,723.9124058,-9510.779127,-3562.458998,6769.783202
-1257.536023,-414.2021793,709.8311444,-9245.103828,-3441.919348,6423.998226
-1265.615368,-414.3714645,695.6616761,-11876.78392,-4395.095458,8054.440445
-1273.546148,-414.4920976,681.4056882,-8723.246891,-3208.873598,5772.42948
-1281.327297,-414.5640217,667.0648846,-8099.515439,-2961.842216,5228.502556
-1288.957769,-414.5871863,652.6409837,-8948.120267,-3253.011693,5633.447697
-1296.436535,-414.5615476,638.1357178,-12230.89769,-4420.634874,7507.639935
-1303.76259,-414.4870685,623.5508326,-9908.414514,-3560.603809,5928.190388
-1310.934941,-414.3637182,608.8880918,-9782.779307,-3495.382552,5703.148015
-1317.952621,-414.1914731,594.1492691,-6752.468949,-2398.981929,3834.438493
-1324.814681,-413.9703161,579.3361533,-6281.063884,-2218.95062,3472.976891
-1331.520191,-413.7002366,564.4505448,-12641.27573,-4440.917406,6803.330428
-1338.068243,-413.3812314,549.4942608,-8067.952669,-2818.571332,4224.522153
-1344.457948,-413.0133037,534.4691288,-8579.247965,-2980.674632,4368.749331
-1350.688441,-412.5964636,519.3769876,-12869.7661,-4446.831607,6370.448042
-1356.758875,-412.1307283,504.2196909,-6471.455438,-2223.878,3112.270468
-1362.668428,-411.6161217,488.9991013,-13014.52972,-4448.155949,6077.856593
-1368.416296,-411.0526748,473.7170959,-6542.306478,-2224.015496,2965.20638
-1374.001699,-410.4404254,458.3755592,-6576.575555,-2223.690371,2891.113679
-1379.423879,-409.7794184,442.9763917,-12718.98446,-4277.65762,5419.769904
-1384.682101,-409.0697055,427.5214999,-10485.77706,-3507.875165,4328.076387
-1389.775651,-408.3113457,412.0128023,-8409.776573,-2798.517877,3359.904766
